COUNTRY,REG_NAME,PRODUCT,BRANDCODE,PRODUCTCODE,ACCESS_DATE,DATE_VAL,User_hist,User_login,REG_DATE,LAST_LOGIN,BIRTH_YEAR,,DURATION,BOUNCE,PURCHASE,USER_AGE,USER_GENDER,GENDER,USER_ID,USER_HIST,LASTLOGIN,MARITAL,PRICE,NO_ITEMS,PUR_VALUE,PRODUCT_PURCHASED,USER_JOB_DET,USER_INCOME,PAYMENT_DET
IN,KL,AC,BLUESTAR,BLUESTARAC44,17-1-2017,42752,42678,42739,04-11-2016,04-01-2017,1982,3-7-1982,103,0,0,34,1,M,MXUSEO15,74,13,M,25000,0,0,80,BUSINESS,39171,NA
IN,KL,WASH_MACH,BLUESTAR,BLUESTARWASH_MACH46,6-1-2017,42741,42617,42642,04-09-2016,29-09-2016,1994,5-8-1994,319,0,1,22,1,M,DYLKDA32,124,99,U,20000,2,21866,100,UNEMPLOYED,249,COD
IN,KL,AC,SAMSUNG,SAMSUNGAC14,17-1-2017,42752,42699,42739,25-11-2016,04-01-2017,1989,8-6-1989,290,0,0,27,0,F,SIEAFH70,53,13,U,30000,1,16090,100,UNEMPLOYED,1249,NA
IN,KA,Fridge,BLUESTAR,BLUESTARFridge45,7-1-2017,42742,42616,42644,03-09-2016,01-10-2016,1982,8-10-1982,357,0,1,34,0,F,VZAIMS45,126,98,U,15000,0,0,70,STUDENT,7247,COD
IN,TN,WASH_MACH,SAMSUNG,SAMSUNGWASH_MACH16,16-1-2017,42751,42728,42732,24-12-2016,28-12-2016,1984,14-7-1984,379,0,1,32,1,M,IBYKPU50,23,19,U,28000,2,26888,105,BUSINESS,33314,CREDIT
IN,TL,Fridge,HITACHI,HITACHIFridge25,11-1-2017,42746,42736,42737,01-01-2017,02-01-2017,1989,10-10-1989,81,0,0,27,0,F,SMNWXC47,10,9,M,14000,1,2800,80,SERVICE,0,NA
IN,KA,WASH_MACH,BLUESTAR,BLUESTARWASH_MACH46,5-1-2017,42740,42552,42672,01-07-2016,29-10-2016,1989,4-3-1989,356,0,1,27,1,M,LGQURZ37,188,68,M,20000,1,4035,80,STUDENT,27436,DEBIT
IN,TL,WASH_MACH,HITACHI,HITACHIWASH_MACH26,13-1-2017,42748,42740,42741,05-01-2017,06-01-2017,1984,13-6-1984,163,0,0,32,1,M,VUSBOU36,8,7,U,23000,1,15125,105,BUSINESS,31514,NA
IN,WB,Fridge,HITACHI,HITACHIFridge25,13-1-2017,42748,42592,42662,10-08-2016,19-10-2016,1993,8-11-1993,226,0,1,23,0,F,DNXVIV90,156,86,U,14000,2,16415,100,STUDENT,8745,COD
IN,KL,AC,SAMSUNG,SAMSUNGAC14,9-1-2017,42744,42655,42656,12-10-2016,13-10-2016,1986,25-5-1986,564,0,1,30,0,F,GPWLXU83,89,88,M,30000,2,5281,160,SERVICE,0,COD
